ReqID,Requirement,Pass,SectionID,TestMethod,Compliance (Y/N/NA),EvidenceRef
EPF-11.1-535997bf,"Composite requirement: HMI shall provide recipes, alarms, diagnostics, and e-stop indicators.",Controls,11.1,DocReview,NA,
EPF-11.1-562c8b0e-B,HMI shall provide alarms.,Controls,11.1,FAT,NA,
EPF-11.1-8e6e0976-A,HMI shall provide recipes.,Controls,11.1,FAT,NA,
EPF-11.1-c0c083d8-D,HMI shall provide e-stop indicators.,Controls,11.1,FAT,NA,
EPF-11.1-f16fca27-C,HMI shall provide diagnostics.,Controls,11.1,FAT,NA,
EPF-11.2-04c62aba,Composite requirement: The system shall provide recipe management for at least 50 recipes and retain alarm history for 30 days.,Controls,11.2,DocReview,NA,
EPF-11.2-95910500-B,The system shall retain alarm history for 30 days.,Controls,11.2,FAT,NA,
EPF-11.2-dfd07fde-A,The system shall provide recipe management for at least 50 recipes.,Controls,11.2,FAT,NA,
EPF-12.1-581b8b8c,Composite requirement: Maintain alignment within 0.5 mm and provide guarding that meets ISO 14120; safe torque off must be integrated.,Mechanical,12.1,DocReview,NA,
EPF-12.1-9775a2eb-B,provide guarding that meets ISO 14120,Mechanical,12.1,Measurement,NA,
EPF-12.1-c3d866e9-A,Composite requirement: Maintain alignment within 0.5 mm and provide guarding that meets ISO 14120,Mechanical,12.1,DocReview,NA,
EPF-12.1-deb321d9-A,Maintain alignment within 0.5 mm,Mechanical,12.1,Measurement,NA,
EPF-12.1-f4669f97-B,safe torque off must be integrated.,Mechanical,12.1,Measurement,NA,
EPF-12.2-933680ee,EOAT shall withstand 40 lb payload with safety factor 4:1.,Mechanical,12.2,Measurement,NA,
EPF-3.1-089f6085,"Composite requirement: FAT shall occur in week 14 with customer witness; payment milestones 30/30/30/10 tied to FAT, SAT, shipment, acceptance.",Project Management,3.1,DocReview,NA,
EPF-3.1-78f12593-A,FAT shall occur in week 14 with customer witness,Project Management,3.1,FAT,NA,
EPF-3.1-95342dc6-B,"payment milestones 30/30/30/10 tied to FAT, SAT, shipment, acceptance.",Project Management,3.1,FAT,NA,
