ReqID,ParentReqID,Atomicity,Pass,Tags,SourceDoc,SectionID,SectionTitle,PageStart,PageEnd,ChunkID,HeaderAnchor,Anchor,Specification,ReqType,Metric,Operator,TargetValue,Units,TestMethod,AcceptanceWindow,EvalBucket,Milestone,Week,PaymentTerm
EPF-11.1-535997bf,,parent,Controls,HMI,EPF_Spec.pdf,11.1,Control Architecture,11,11,chunk-ctrl-001,control-architecture,535997bf,"Composite requirement: HMI shall provide recipes, alarms, diagnostics, and e-stop indicators.",Utility,,,,,DocReview,,Maintenance10,,,
EPF-11.1-562c8b0e-B,EPF-11.1-535997bf,atomic,Controls,HMI,EPF_Spec.pdf,11.1,Control Architecture,11,11,chunk-ctrl-001,control-architecture,562c8b0e,HMI shall provide alarms.,Utility,,,,,FAT,,Maintenance10,,,
EPF-11.1-8e6e0976-A,EPF-11.1-535997bf,atomic,Controls,HMI,EPF_Spec.pdf,11.1,Control Architecture,11,11,chunk-ctrl-001,control-architecture,8e6e0976,HMI shall provide recipes.,Utility,,,,,FAT,,Maintenance10,,,
EPF-11.1-c0c083d8-D,EPF-11.1-535997bf,atomic,Controls,HMI,EPF_Spec.pdf,11.1,Control Architecture,11,11,chunk-ctrl-001,control-architecture,c0c083d8,HMI shall provide e-stop indicators.,Utility,,,,,FAT,,Maintenance10,,,
EPF-11.1-f16fca27-C,EPF-11.1-535997bf,atomic,Controls,HMI,EPF_Spec.pdf,11.1,Control Architecture,11,11,chunk-ctrl-001,control-architecture,f16fca27,HMI shall provide diagnostics.,Utility,,,,,FAT,,Maintenance10,,,
EPF-11.2-04c62aba,,parent,Controls,HMI,EPF_Spec.pdf,11.2,HMI Functions,12,12,chunk-ctrl-002,hmi-functions,04c62aba,Composite requirement: The system shall provide recipe management for at least 50 recipes and retain alarm history for 30 days.,Utility,,,,,DocReview,,Maintenance10,,,
EPF-11.2-95910500-B,EPF-11.2-04c62aba,atomic,Controls,HMI,EPF_Spec.pdf,11.2,HMI Functions,12,12,chunk-ctrl-002,hmi-functions,95910500,The system shall retain alarm history for 30 days.,Utility,,,,,FAT,,Maintenance10,,,
EPF-11.2-dfd07fde-A,EPF-11.2-04c62aba,atomic,Controls,HMI,EPF_Spec.pdf,11.2,HMI Functions,12,12,chunk-ctrl-002,hmi-functions,dfd07fde,The system shall provide recipe management for at least 50 recipes.,Utility,RecipeCapacity,>=,50.0,,FAT,,Maintenance10,,,
EPF-12.1-581b8b8c,,parent,Mechanical,Safety,EPF_Spec.pdf,12.1,Mechanical Performance,20,20,chunk-mech-001,mechanical-performance,581b8b8c,Composite requirement: Maintain alignment within 0.5 mm and provide guarding that meets ISO 14120; safe torque off must be integrated.,Safety,,,,,DocReview,,Safety15,,,
EPF-12.1-9775a2eb-B,EPF-12.1-c3d866e9-A,atomic,Mechanical,Safety,EPF_Spec.pdf,12.1,Mechanical Performance,20,20,chunk-mech-001,mechanical-performance,9775a2eb,provide guarding that meets ISO 14120,Safety,,,,,Measurement,,Safety15,,,
EPF-12.1-c3d866e9-A,EPF-12.1-581b8b8c,parent,Mechanical,Safety,EPF_Spec.pdf,12.1,Mechanical Performance,20,20,chunk-mech-001,mechanical-performance,c3d866e9,Composite requirement: Maintain alignment within 0.5 mm and provide guarding that meets ISO 14120,Safety,,,,,DocReview,,Safety15,,,
EPF-12.1-deb321d9-A,EPF-12.1-c3d866e9-A,atomic,Mechanical,,EPF_Spec.pdf,12.1,Mechanical Performance,20,20,chunk-mech-001,mechanical-performance,deb321d9,Maintain alignment within 0.5 mm,Performance,,,,,Measurement,,Performance20,,,
EPF-12.1-f4669f97-B,EPF-12.1-581b8b8c,atomic,Mechanical,Safety,EPF_Spec.pdf,12.1,Mechanical Performance,20,20,chunk-mech-001,mechanical-performance,f4669f97,safe torque off must be integrated.,Safety,,,,,Measurement,,Safety15,,,
EPF-12.2-933680ee,,atomic,Mechanical,"EOAT,Safety",EPF_Spec.pdf,12.2,Safety Hardware,21,21,chunk-mech-002,mechanical-safety,933680ee,EOAT shall withstand 40 lb payload with safety factor 4:1.,Safety,,,,,Measurement,,Safety15,,,
EPF-3.1-089f6085,,parent,Project Management,Schedule,EPF_Project.pdf,3.1,Project Milestones,4,4,chunk-pm-001,pm-milestones,089f6085,"Composite requirement: FAT shall occur in week 14 with customer witness; payment milestones 30/30/30/10 tied to FAT, SAT, shipment, acceptance.",Commercial,,,,,DocReview,,Commercial20,"FAT shall occur in week 14 with customer witness; payment milestones 30/30/30/10 tied to FAT, SAT, shipment, acceptance.",14.0,30/30/30/10
EPF-3.1-78f12593-A,EPF-3.1-089f6085,atomic,Project Management,Schedule,EPF_Project.pdf,3.1,Project Milestones,4,4,chunk-pm-001,pm-milestones,78f12593,FAT shall occur in week 14 with customer witness,Schedule,,,,,FAT,,Schedule15,FAT shall occur in week 14 with customer witness,14.0,30/30/30/10
EPF-3.1-95342dc6-B,EPF-3.1-089f6085,atomic,Project Management,Schedule,EPF_Project.pdf,3.1,Project Milestones,4,4,chunk-pm-001,pm-milestones,95342dc6,"payment milestones 30/30/30/10 tied to FAT, SAT, shipment, acceptance.",Commercial,,,,,FAT,,Commercial20,"payment milestones 30/30/30/10 tied to FAT, SAT, shipment, acceptance.",14.0,30/30/30/10
